SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
GlymaLee.20G160000.1.p,20,45484513,0.282310977261829,0.0133333333333333,75,NA,NA,1,-0.810810810810807
UWASoyPan00022,22,958,0.282310977261853,0.0133333333333333,75,NA,NA,1,0.810810810810811
UWASoyPan00975,22,499,0.295968101168553,0.266666666666667,75,NA,NA,1,-0.204545454545455
GlymaLee.16G130800.1.p,16,33636259,0.296984494378062,0.12,75,NA,NA,1,-0.277777777777777
GlymaLee.06G230500.1.p,6,46786660,0.349338045685427,0.24,75,NA,NA,1,0.190058479532164
GlymaLee.06G228900.1.p,6,46534448,0.366051651604056,0.133333333333333,75,NA,NA,1,-0.23076923076923
UWASoyPan00670,22,177,0.37422868508233,0.0533333333333333,75,NA,NA,1,-0.34330985915493
UWASoyPan04354,22,277,0.37422868508233,0.0533333333333333,75,NA,NA,1,-0.34330985915493
UWASoyPan01729,22,359,0.391195423488744,0.0266666666666667,75,NA,NA,1,-0.462328767123288
UWASoyPan03340,22,887,0.459279258418626,0.346666666666667,75,NA,NA,1,0.135400313971743
GlymaLee.06G229100.1.p,6,46555554,0.462345028242384,0.493333333333333,75,NA,NA,1,0.128022759601707
UWASoyPan00005,22,296,0.479633299700854,0.186666666666667,75,NA,NA,1,-0.15807962529274
GlymaLee.07G060000.1.p,7,5946726,0.48222489572497,0.04,75,NA,NA,1,-0.312500000000007
GlymaLee.15G199500.1.p,15,46964277,0.489036899926413,0.266666666666667,75,NA,NA,1,-0.136363636363637
GlymaLee.13G049500.1.p,13,17537148,0.540397626766486,0.0666666666666667,75,NA,NA,1,0.214285714285715
UWASoyPan01320,22,297,0.54869749738941,0.373333333333333,75,NA,NA,1,0.108282674772036
GlymaLee.07G070200.1.p,7,7130614,0.563925512355928,0.0933333333333334,75,NA,NA,1,-0.173319327731093
UWASoyPan00251,22,452,0.567206204146982,0.2,75,NA,NA,1,0.125
GlymaLee.14G022200.1.p,14,1797051,0.56990700069687,0.0266666666666666,75,NA,NA,1,-0.308219178082197
UWASoyPan01973,22,270,0.572611999831456,0.173333333333333,75,NA,NA,1,0.130272952853598
GlymaLee.16G175600.1.p,16,38496432,0.573213697013757,0.12,75,NA,NA,1,-0.15151515151515
UWASoyPan01418,22,410,0.582698564008475,0.48,75,NA,NA,1,-0.0961538461538463
UWASoyPan00427,22,933,0.586881366336592,0.106666666666667,75,NA,NA,1,0.15391791044776
UWASoyPan00772,22,326,0.611218738307851,0.186666666666667,75,NA,NA,1,-0.114168618266979
GlymaLee.01G030900.1.p,1,3567950,0.647263746848416,0.466666666666667,75,NA,NA,1,-0.0803571428571428
UWASoyPan02799,22,488,0.658435989964824,0.173333333333333,75,NA,NA,1,-0.102357320099255
UWASoyPan00155,22,591,0.659616450912304,0.28,75,NA,NA,1,-0.0859788359788363
UWASoyPan03261,22,320,0.667978261930314,0.44,75,NA,NA,1,0.0757575757575757
UWASoyPan03402,22,532,0.692542021054279,0.48,75,NA,NA,1,0.0694444444444442
UWASoyPan03336,22,248,0.69501696251984,0.08,75,NA,NA,1,-0.126811594202898
UWASoyPan04314,22,261,0.69501696251984,0.08,75,NA,NA,1,-0.126811594202898
GlymaLee.18G081100.1.p,18,9244416,0.706087081661198,0.0266666666666666,75,NA,NA,1,0.205479452054796
GlymaLee.03G070700.1.p,3,28015986,0.761204199704218,0.0666666666666667,75,NA,NA,1,-0.107142857142858
UWASoyPan00043,22,467,0.761204199704219,0.0666666666666667,75,NA,NA,1,0.107142857142857
UWASoyPan04967,22,265,0.761204199704219,0.0666666666666667,75,NA,NA,1,0.107142857142857
UWASoyPan00326,22,266,0.764430377725059,0.293333333333333,75,NA,NA,1,-0.0578902229845624
GlymaLee.07G059500.1.p,7,5847947,0.791707666804653,0.0133333333333333,75,NA,NA,1,0.202702702702709
GlymaLee.07G059800.1.p,7,5914021,0.791707666804653,0.0133333333333333,75,NA,NA,1,0.202702702702709
GlymaLee.20G036200.1.p,20,10990898,0.791707666804653,0.0133333333333333,75,NA,NA,1,0.202702702702709
UWASoyPan05095,22,299,0.791707666804671,0.0133333333333333,75,NA,NA,1,-0.202702702702703
GlymaLee.06G232800.1.p,6,47279730,0.803591684805471,0.386666666666667,75,NA,NA,1,-0.0449775112443787
GlymaLee.06G229300.1.p,6,46582039,0.805734025696673,0.413333333333333,75,NA,NA,1,-0.0439882697947205
UWASoyPan01530,22,288,0.829758575618448,0.413333333333333,75,NA,NA,1,0.0384897360703818
UWASoyPan01253,22,473,0.831732733849683,0.24,75,NA,NA,1,-0.0438596491228074
GlymaLee.03G070600.1.p,3,27977340,0.840017160112218,0.0533333333333333,75,NA,NA,1,0.0792253521126725
GlymaLee.16G111300.1.p,16,30996392,0.869100728166065,0.16,75,NA,NA,1,0.0396825396825378
UWASoyPan00725,22,576,0.869100728166065,0.16,75,NA,NA,1,0.0396825396825378
GlymaLee.15G198600.1.p,15,46360913,0.893147583452507,0.0533333333333333,75,NA,NA,1,-0.0528169014084554
GlymaLee.03G040000.1.p,3,5773934,0.925461453753297,0.0266666666666666,75,NA,NA,1,-0.0513698630136972
UWASoyPan02043,22,381,0.926091505587545,0.12,75,NA,NA,1,0.0252525252525251
UWASoyPan05312,22,248,0.938362689056999,0.186666666666667,75,NA,NA,1,0.0175644028103044
GlymaLee.16G111500.1.p,16,31012672,0.958730213717584,0.0933333333333334,75,NA,NA,1,-0.0157563025210088
UWASoyPan02496,22,266,0.999999999999998,0.333333333333333,75,NA,NA,1,-4.44089209850063e-16
GlymaLee.01G010200.1.p,1,1052502,1,0,75,NA,NA,1,NA
GlymaLee.01G010400.1.p,1,1063378,1,0,75,NA,NA,1,NA
GlymaLee.01G011700.1.p,1,1194202,1,0,75,NA,NA,1,NA
GlymaLee.01G012500.1.p,1,1261953,1,0,75,NA,NA,1,NA
GlymaLee.01G030300.1.p,1,3459549,1,0,75,NA,NA,1,NA
GlymaLee.01G030700.1.p,1,3514880,1,0,75,NA,NA,1,NA
GlymaLee.01G030800.1.p,1,3542206,1,0,75,NA,NA,1,NA
GlymaLee.01G031000.1.p,1,3587211,1,0,75,NA,NA,1,NA
GlymaLee.01G032700.1.p,1,3777483,1,0,75,NA,NA,1,NA
GlymaLee.01G033000.1.p,1,3832299,1,0,75,NA,NA,1,NA
GlymaLee.01G036000.1.p,1,4285304,1,0,75,NA,NA,1,NA
GlymaLee.01G042800.1.p,1,5563614,1,0,75,NA,NA,1,NA
GlymaLee.01G056700.1.p,1,10323026,1,0,75,NA,NA,1,NA
GlymaLee.01G088500.1.p,1,39116433,1,0,75,NA,NA,1,NA
GlymaLee.01G097800.1.p,1,44981654,1,0,75,NA,NA,1,NA
GlymaLee.01G097900.1.p,1,45063558,1,0,75,NA,NA,1,NA
GlymaLee.01G099000.1.p,1,45274788,1,0,75,NA,NA,1,NA
GlymaLee.01G099900.1.p,1,45633579,1,0,75,NA,NA,1,NA
GlymaLee.01G115200.1.p,1,50317610,1,0,75,NA,NA,1,NA
GlymaLee.01G136600.1.p,1,52655530,1,0,75,NA,NA,1,NA
GlymaLee.01G148500.1.p,1,53688369,1,0,75,NA,NA,1,NA
GlymaLee.01G148600.1.p,1,53694110,1,0,75,NA,NA,1,NA
GlymaLee.01G182700.1.p,1,56841248,1,0,75,NA,NA,1,NA
GlymaLee.02G021300.1.p,2,2167966,1,0,75,NA,NA,1,NA
GlymaLee.02G021400.1.p,2,2172118,1,0,75,NA,NA,1,NA
GlymaLee.02G021500.1.p,2,2174370,1,0,75,NA,NA,1,NA
GlymaLee.02G021600.1.p,2,2177214,1,0,75,NA,NA,1,NA
GlymaLee.02G023600.1.p,2,2377776,1,0,75,NA,NA,1,NA
GlymaLee.02G027300.1.p,2,2796431,1,0,75,NA,NA,1,NA
GlymaLee.02G027800.1.p,2,2848946,1,0,75,NA,NA,1,NA
GlymaLee.02G029800.1.p,2,3075893,1,0,75,NA,NA,1,NA
GlymaLee.02G029900.1.p,2,3079291,1,0,75,NA,NA,1,NA
GlymaLee.02G038400.1.p,2,3985481,1,0,75,NA,NA,1,NA
GlymaLee.02G100000.1.p,2,11284149,1,0,75,NA,NA,1,NA
GlymaLee.02G158100.1.p,2,35635189,1,0,75,NA,NA,1,NA
GlymaLee.02G187800.1.p,2,44845498,1,0,75,NA,NA,1,NA
GlymaLee.02G228600.1.p,2,49198872,1,0,75,NA,NA,1,NA
GlymaLee.02G242900.1.p,2,50472624,1,0,75,NA,NA,1,NA
GlymaLee.02G243000.1.p,2,50483302,1,0,75,NA,NA,1,NA
GlymaLee.02G248800.1.p,2,50924912,1,0,75,NA,NA,1,NA
GlymaLee.02G248900.1.p,2,50927774,1,0,75,NA,NA,1,NA
GlymaLee.03G031000.1.p,3,4154508,1,0,75,NA,NA,1,NA
GlymaLee.03G032400.1.p,3,4435347,1,0,75,NA,NA,1,NA
GlymaLee.03G032600.1.p,3,4462063,1,0,75,NA,NA,1,NA
GlymaLee.03G032800.1.p,3,4486697,1,0,75,NA,NA,1,NA
GlymaLee.03G032900.1.p,3,4505695,1,0,75,NA,NA,1,NA
GlymaLee.03G033000.1.p,3,4558277,1,0,75,NA,NA,1,NA
GlymaLee.03G034100.1.p,3,4810603,1,0,75,NA,NA,1,NA
GlymaLee.03G034300.1.p,3,4840460,1,0,75,NA,NA,1,NA
GlymaLee.03G037200.1.p,3,5451110,1,0,75,NA,NA,1,NA
GlymaLee.03G037400.1.p,3,5465533,1,0,75,NA,NA,1,NA
GlymaLee.03G037600.1.p,3,5480531,1,0,75,NA,NA,1,NA
GlymaLee.03G037800.1.p,3,5503441,1,0,75,NA,NA,1,NA
GlymaLee.03G037900.1.p,3,5537134,1,0,75,NA,NA,1,NA
GlymaLee.03G038100.1.p,3,5563744,1,0,75,NA,NA,1,NA
GlymaLee.03G038300.1.p,3,5588253,1,0,75,NA,NA,1,NA
GlymaLee.03G038500.1.p,3,5611702,1,0,75,NA,NA,1,NA
GlymaLee.03G038800.1.p,3,5637678,1,0,75,NA,NA,1,NA
GlymaLee.03G039000.1.p,3,5651400,1,0,75,NA,NA,1,NA
GlymaLee.03G039200.1.p,3,5665320,1,0,75,NA,NA,1,NA
GlymaLee.03G039400.1.p,3,5680735,1,0,75,NA,NA,1,NA
GlymaLee.03G039500.1.p,3,5733082,1,0,75,NA,NA,1,NA
GlymaLee.03G039700.1.p,3,5751918,1,0,75,NA,NA,1,NA
GlymaLee.03G040100.1.p,3,5804238,1,0,75,NA,NA,1,NA
GlymaLee.03G040900.1.p,3,5971326,1,0,75,NA,NA,1,NA
GlymaLee.03G041400.1.p,3,6062129,1,0,75,NA,NA,1,NA
GlymaLee.03G041800.1.p,3,6104573,1,0,75,NA,NA,1,NA
GlymaLee.03G042400.1.p,3,6211283,1,0,75,NA,NA,1,NA
GlymaLee.03G042500.1.p,3,6226108,1,0,75,NA,NA,1,NA
GlymaLee.03G042700.1.p,3,6250576,1,0,75,NA,NA,1,NA
GlymaLee.03G045200.1.p,3,6929561,1,0,75,NA,NA,1,NA
GlymaLee.03G061600.1.p,3,20107010,1,0,75,NA,NA,1,NA
GlymaLee.03G061700.1.p,3,20185367,1,0,75,NA,NA,1,NA
GlymaLee.03G063600.1.p,3,20705374,1,0,75,NA,NA,1,NA
GlymaLee.03G070200.1.p,3,27843327,1,0,75,NA,NA,1,NA
GlymaLee.03G070300.1.p,3,27850455,1,0,75,NA,NA,1,NA
GlymaLee.03G106900.1.p,3,37417116,1,0,75,NA,NA,1,NA
GlymaLee.04G100300.1.p,4,12354255,1,0,75,NA,NA,1,NA
GlymaLee.04G106500.1.p,4,16155413,1,0,75,NA,NA,1,NA
GlymaLee.04G114600.1.p,4,20940413,1,0,75,NA,NA,1,NA
GlymaLee.04G180300.1.p,4,50366582,1,0,75,NA,NA,1,NA
GlymaLee.05G006600.1.p,5,674490,1,0,75,NA,NA,1,NA
GlymaLee.05G044700.1.p,5,4317947,1,0,75,NA,NA,1,NA
GlymaLee.05G074800.1.p,5,17112562,1,0,75,NA,NA,1,NA
GlymaLee.05G075000.1.p,5,17417131,1,0,75,NA,NA,1,NA
GlymaLee.05G075100.1.p,5,17431118,1,0,75,NA,NA,1,NA
GlymaLee.05G141100.1.p,5,36828213,1,0,75,NA,NA,1,NA
GlymaLee.05G141200.1.p,5,36849428,1,0,75,NA,NA,1,NA
GlymaLee.05G180500.1.p,5,40385723,1,0,75,NA,NA,1,NA
GlymaLee.06G065700.1.p,6,5804395,1,0,75,NA,NA,1,NA
GlymaLee.06G134700.1.p,6,12243059,1,0,75,NA,NA,1,NA
GlymaLee.06G154900.1.p,6,14310847,1,0,75,NA,NA,1,NA
GlymaLee.06G210500.1.p,6,39789762,1,0,75,NA,NA,1,NA
GlymaLee.06G215900.1.p,6,42620765,1,0,75,NA,NA,1,NA
GlymaLee.06G221200.1.p,6,44269195,1,0,75,NA,NA,1,NA
GlymaLee.06G222300.1.p,6,44764891,1,0,75,NA,NA,1,NA
GlymaLee.06G222400.1.p,6,44772415,1,0,75,NA,NA,1,NA
GlymaLee.06G222600.1.p,6,44799304,1,0,75,NA,NA,1,NA
GlymaLee.06G224900.1.p,6,45656875,1,0,75,NA,NA,1,NA
GlymaLee.06G225200.1.p,6,45687123,1,0,75,NA,NA,1,NA
GlymaLee.06G225500.1.p,6,45787117,1,0,75,NA,NA,1,NA
GlymaLee.06G225900.1.p,6,45819631,1,0,75,NA,NA,1,NA
GlymaLee.06G226600.1.p,6,46071900,1,0,75,NA,NA,1,NA
GlymaLee.06G226700.1.p,6,46115672,1,0,75,NA,NA,1,NA
GlymaLee.06G226900.1.p,6,46185376,1,0,75,NA,NA,1,NA
GlymaLee.06G227000.1.p,6,46209758,1,0,75,NA,NA,1,NA
GlymaLee.06G228700.1.p,6,46517229,1,0,75,NA,NA,1,NA
GlymaLee.06G228800.1.p,6,46527925,1,0,75,NA,NA,1,NA
GlymaLee.06G229600.1.p,6,46698045,1,0,75,NA,NA,1,NA
GlymaLee.06G229700.1.p,6,46699702,1,0,75,NA,NA,1,NA
GlymaLee.06G229900.1.p,6,46723582,1,0,75,NA,NA,1,NA
GlymaLee.06G230700.1.p,6,46812230,1,0,75,NA,NA,1,NA
GlymaLee.06G231000.1.p,6,46871644,1,0,75,NA,NA,1,NA
GlymaLee.06G231200.1.p,6,46893441,1,0,75,NA,NA,1,NA
GlymaLee.06G232700.1.p,6,47180056,1,0,75,NA,NA,1,NA
GlymaLee.06G233000.1.p,6,47349640,1,0,75,NA,NA,1,NA
GlymaLee.06G233100.1.p,6,47355671,1,0,75,NA,NA,1,NA
GlymaLee.06G245700.1.p,6,48987563,1,0,75,NA,NA,1,NA
GlymaLee.06G266800.1.p,6,51426995,1,0,75,NA,NA,1,NA
GlymaLee.06G267800.1.p,6,51542518,1,0,75,NA,NA,1,NA
GlymaLee.06G268000.1.p,6,51560746,1,0,75,NA,NA,1,NA
GlymaLee.06G271900.1.p,6,52031371,1,0,75,NA,NA,1,NA
GlymaLee.06G274000.1.p,6,52237703,1,0,75,NA,NA,1,NA
GlymaLee.06G276900.1.p,6,52511407,1,0,75,NA,NA,1,NA
GlymaLee.07G007100.1.p,7,590004,1,0,75,NA,NA,1,NA
GlymaLee.07G034100.1.p,7,3091885,1,0,75,NA,NA,1,NA
GlymaLee.07G058000.1.p,7,5651677,1,0,75,NA,NA,1,NA
GlymaLee.07G058200.1.p,7,5681620,1,0,75,NA,NA,1,NA
GlymaLee.07G058700.1.p,7,5732405,1,0,75,NA,NA,1,NA
GlymaLee.07G059300.1.p,7,5796034,1,0,75,NA,NA,1,NA
GlymaLee.07G059600.1.p,7,5875743,1,0,75,NA,NA,1,NA
GlymaLee.07G060100.1.p,7,5995484,1,0,75,NA,NA,1,NA
GlymaLee.07G060500.1.p,7,6058981,1,0,75,NA,NA,1,NA
GlymaLee.07G060700.1.p,7,6105953,1,0,75,NA,NA,1,NA
GlymaLee.07G060900.1.p,7,6147155,1,0,75,NA,NA,1,NA
GlymaLee.07G062700.1.p,7,6366682,1,0,75,NA,NA,1,NA
GlymaLee.07G071900.1.p,7,7359820,1,0,75,NA,NA,1,NA
GlymaLee.07G072200.1.p,7,7399371,1,0,75,NA,NA,1,NA
GlymaLee.07G109600.1.p,7,14869276,1,0,75,NA,NA,1,NA
GlymaLee.07G162300.1.p,7,37687600,1,0,75,NA,NA,1,NA
GlymaLee.07G165000.1.p,7,37986467,1,0,75,NA,NA,1,NA
GlymaLee.08G007100.1.p,8,619445,1,0,75,NA,NA,1,NA
GlymaLee.08G015100.1.p,8,1298034,1,0,75,NA,NA,1,NA
GlymaLee.08G109900.1.p,8,9311239,1,0,75,NA,NA,1,NA
GlymaLee.08G110100.1.p,8,9320987,1,0,75,NA,NA,1,NA
GlymaLee.08G114200.1.p,8,9615537,1,0,75,NA,NA,1,NA
GlymaLee.08G114400.1.p,8,9633143,1,0,75,NA,NA,1,NA
GlymaLee.08G148400.1.p,8,12617345,1,0,75,NA,NA,1,NA
GlymaLee.08G179300.1.p,8,15834035,1,0,75,NA,NA,1,NA
GlymaLee.08G237000.1.p,8,23933642,1,0,75,NA,NA,1,NA
GlymaLee.08G263100.1.p,8,42205298,1,0,75,NA,NA,1,NA
GlymaLee.08G264200.1.p,8,42343082,1,0,75,NA,NA,1,NA
GlymaLee.08G264300.1.p,8,42346170,1,0,75,NA,NA,1,NA
GlymaLee.08G264400.1.p,8,42368363,1,0,75,NA,NA,1,NA
GlymaLee.08G269300.1.p,8,43260476,1,0,75,NA,NA,1,NA
GlymaLee.08G269900.1.p,8,43317052,1,0,75,NA,NA,1,NA
GlymaLee.08G271300.1.p,8,43497064,1,0,75,NA,NA,1,NA
GlymaLee.08G273100.1.p,8,43693331,1,0,75,NA,NA,1,NA
GlymaLee.08G277900.1.p,8,44332756,1,0,75,NA,NA,1,NA
GlymaLee.08G283400.1.p,8,45036636,1,0,75,NA,NA,1,NA
GlymaLee.08G283700.1.p,8,45057607,1,0,75,NA,NA,1,NA
GlymaLee.08G284000.1.p,8,45077574,1,0,75,NA,NA,1,NA
GlymaLee.08G285100.1.p,8,45191577,1,0,75,NA,NA,1,NA
GlymaLee.08G288600.1.p,8,45508007,1,0,75,NA,NA,1,NA
GlymaLee.08G294100.1.p,8,46007944,1,0,75,NA,NA,1,NA
GlymaLee.09G019800.1.p,9,1651369,1,0,75,NA,NA,1,NA
GlymaLee.09G020100.1.p,9,1671880,1,0,75,NA,NA,1,NA
GlymaLee.09G051200.1.p,9,5198230,1,0,75,NA,NA,1,NA
GlymaLee.09G051600.1.p,9,5258643,1,0,75,NA,NA,1,NA
GlymaLee.09G067100.1.p,9,8373049,1,0,75,NA,NA,1,NA
GlymaLee.09G125700.1.p,9,39050031,1,0,75,NA,NA,1,NA
GlymaLee.09G171300.1.p,9,43917982,1,0,75,NA,NA,1,NA
GlymaLee.09G171400.1.p,9,43924932,1,0,75,NA,NA,1,NA
GlymaLee.09G172100.1.p,9,43999661,1,0,75,NA,NA,1,NA
GlymaLee.09G172900.1.p,9,44104510,1,0,75,NA,NA,1,NA
GlymaLee.09G215000.1.p,9,47871591,1,0,75,NA,NA,1,NA
GlymaLee.10G099200.1.p,10,32505353,1,0,75,NA,NA,1,NA
GlymaLee.10G152400.1.p,10,43778251,1,0,75,NA,NA,1,NA
GlymaLee.10G152500.1.p,10,43785173,1,0,75,NA,NA,1,NA
GlymaLee.10G164600.1.p,10,44845779,1,0,75,NA,NA,1,NA
GlymaLee.11G021000.1.p,11,1651680,1,0,75,NA,NA,1,NA
GlymaLee.11G054400.1.p,11,4524313,1,0,75,NA,NA,1,NA
GlymaLee.11G067000.1.p,11,5463033,1,0,75,NA,NA,1,NA
GlymaLee.11G142500.1.p,11,14623646,1,0,75,NA,NA,1,NA
GlymaLee.11G142600.1.p,11,14628450,1,0,75,NA,NA,1,NA
GlymaLee.11G154600.1.p,11,16696092,1,0,75,NA,NA,1,NA
GlymaLee.11G167500.1.p,11,18786132,1,0,75,NA,NA,1,NA
GlymaLee.11G195100.1.p,11,35545191,1,0,75,NA,NA,1,NA
GlymaLee.12G011200.1.p,12,858341,1,0,75,NA,NA,1,NA
GlymaLee.12G025100.1.p,12,1975308,1,0,75,NA,NA,1,NA
GlymaLee.12G115400.1.p,12,15171013,1,0,75,NA,NA,1,NA
GlymaLee.12G115500.1.p,12,15191230,1,0,75,NA,NA,1,NA
GlymaLee.12G115600.1.p,12,15203434,1,0,75,NA,NA,1,NA
GlymaLee.12G118000.1.p,12,16022091,1,0,75,NA,NA,1,NA
GlymaLee.12G118800.1.p,12,16326846,1,0,75,NA,NA,1,NA
GlymaLee.12G136000.1.p,12,33968631,1,0,75,NA,NA,1,NA
GlymaLee.12G180800.1.p,12,39988123,1,0,75,NA,NA,1,NA
GlymaLee.12G186300.1.p,12,40640277,1,0,75,NA,NA,1,NA
GlymaLee.12G189000.1.p,12,40923234,1,0,75,NA,NA,1,NA
GlymaLee.12G202200.1.p,12,42436406,1,0,75,NA,NA,1,NA
GlymaLee.12G204900.1.p,12,42721983,1,0,75,NA,NA,1,NA
GlymaLee.12G205400.1.p,12,42763649,1,0,75,NA,NA,1,NA
GlymaLee.12G205500.1.p,12,42775002,1,0,75,NA,NA,1,NA
GlymaLee.12G205800.1.p,12,42800191,1,0,75,NA,NA,1,NA
GlymaLee.13G009700.1.p,13,6034296,1,0,75,NA,NA,1,NA
GlymaLee.13G046600.1.p,13,16787959,1,0,75,NA,NA,1,NA
GlymaLee.13G046900.1.p,13,16816579,1,0,75,NA,NA,1,NA
GlymaLee.13G051000.1.p,13,17924849,1,0,75,NA,NA,1,NA
GlymaLee.13G062500.1.p,13,20269001,1,0,75,NA,NA,1,NA
GlymaLee.13G151400.1.p,13,30002134,1,0,75,NA,NA,1,NA
GlymaLee.13G151600.1.p,13,30017833,1,0,75,NA,NA,1,NA
GlymaLee.13G154300.1.p,13,30326779,1,0,75,NA,NA,1,NA
GlymaLee.13G154600.1.p,13,30359315,1,0,75,NA,NA,1,NA
GlymaLee.13G156000.1.p,13,30510367,1,0,75,NA,NA,1,NA
GlymaLee.13G156400.1.p,13,30544632,1,0,75,NA,NA,1,NA
GlymaLee.13G156500.1.p,13,30559549,1,0,75,NA,NA,1,NA
GlymaLee.13G156700.1.p,13,30582610,1,0,75,NA,NA,1,NA
GlymaLee.13G157700.1.p,13,30689946,1,0,75,NA,NA,1,NA
GlymaLee.13G158500.1.p,13,30802411,1,0,75,NA,NA,1,NA
GlymaLee.13G158700.1.p,13,30820793,1,0,75,NA,NA,1,NA
GlymaLee.13G159400.1.p,13,30885312,1,0,75,NA,NA,1,NA
GlymaLee.13G159800.1.p,13,30923608,1,0,75,NA,NA,1,NA
GlymaLee.13G159900.1.p,13,30939635,1,0,75,NA,NA,1,NA
GlymaLee.13G160000.1.p,13,30953734,1,0,75,NA,NA,1,NA
GlymaLee.13G160100.1.p,13,30973637,1,0,75,NA,NA,1,NA
GlymaLee.13G160200.1.p,13,31003814,1,0,75,NA,NA,1,NA
GlymaLee.13G160300.1.p,13,31013237,1,0,75,NA,NA,1,NA
GlymaLee.13G160800.1.p,13,31078141,1,0,75,NA,NA,1,NA
GlymaLee.13G206400.1.p,13,35462559,1,0,75,NA,NA,1,NA
GlymaLee.13G222600.1.p,13,36742946,1,0,75,NA,NA,1,NA
GlymaLee.13G222900.1.p,13,36760681,1,0,75,NA,NA,1,NA
GlymaLee.13G239800.1.p,13,38408483,1,0,75,NA,NA,1,NA
GlymaLee.14G008300.1.p,14,684555,1,0,75,NA,NA,1,NA
GlymaLee.14G022100.1.p,14,1792694,1,0,75,NA,NA,1,NA
